Study Class,Treatment Focus (Study level),Clinical Setting,Study Design,Subscale/Symptom Cluster Data,Subgroup Analysis,Allowed PTSD Psychotherapy Co-Intervention,Allowed Other Psychotherapy Co-Intervention,Allowed Psychotropic Med Co-Intervention,Diagnosis Assessment Type,Diagnostic Measure,Diagnostic Measure Detail,Depression Outcome Assessed,Anxiety Outcome Assessed,Sleep Outcome Assessed,Anger Outcome Assessed,Functioning Outcome Assessed,Substance Use Outcome Assessed,Quality of Life Outcome Assessed,Suicide or Self-Harm Related Outcomes,Serious Harms Assessed,Risk of Bias Rating,Patients with Suicidality Excluded,Suicide and Self-Directed Violence Related Inclusion and Exclusion Criteria,Psychotic Disorder and Symptom Related Inclusion and Exclusion Criteria,Trauma Type,Trauma Detail,PTSD Severity
Other study class,PTSD,Other (home),Parallel,N,1,0,1,1,Structured Clinical Interview,PSS-I and MINI,MINI and PSS-I for DSM-IV,1,1,0,0,0,0,0,0,1,Some Concerns,1,"Excluded: suicidal ideation with response >2 to on Question 9 of PHQ-9, or current suicidal intent and plan (suicidal ideation permitted)",Excluded: current psychotic mental illness (past psychosis permitted),Mixed,"combat-related, rape/sexual assault, accidents, illness/medical procedure, community/school violence, natural or manmade disasters, terrorism/political violence/forced displacement, other (not specified)",Medium
Psychotherapy,PTSD,Other (shelters for victims of intimate partner violence),Parallel,N,0,0,0,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV-TR,1,0,0,0,0,0,1,0,1,Low,1,"Excluded: ""suicidal ideation with intent and plan determined to be severe risk on the MSSI""","Excluded: ""current psychotic symptoms on the SCID-I/P""",Intimate partner violence,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Other,Parallel,N,0,0,0,0,Self report,PDS,PDS >10,1,0,0,0,1,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"rape/sexual assault, accidents, child sexual abuse, community/school violence, other (witness to murder)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,0,1,0,0,0,1,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""current or lifetime DSM-IV schizophrenia, other psychotic disorders""",Combat-related,"combat-related, other (not specified)",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,1,0,1,0,Structured Clinical Interview,CAPS,diagnostic criteria on CAPS-5 past month and CAPS-5 score ≥33,0,0,1,0,0,0,0,0,1,Some Concerns,1,"Excluded: ""C-SSR type 4 or 5 ideation within 6 months, or any C-SSRS suicidal behavior within one year""","Excluded: ""a diagnosis of… schizophrenia spectrum disorders,… other psychotic disorders""",Mixed,Combat-related; Other (not specified),High
Nonpharmacologic biological,PTSD,Other (home),Parallel,N,1,0,1,1,Self report,PCL,PCL-5 ≥33,1,0,1,0,0,0,0,0,1,High,1,Excluded patients with significant suicidal ideation or behaviors in the past 6 months,Excluded patients with lifetime psychotic disorder,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Clinical diagnosis,DSM,Clinician diagnosed using DSM-IV criteria,1,0,0,0,0,0,0,0,1,Some Concerns,1,"Excluded: ""suicidal intent""",Excluded: psychosis,Child sexual abuse,"combat-related, other (not specified)",Medium
Other mixed,PTSD,"Mixed: acute inpatient, outpatient",Parallel,Y,0,0,1,1,Structured Clinical Interview,MINI,MINI for DSM-IV,0,0,0,0,0,0,0,0,1,Low,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,0,Structured Clinical Interview,SI-PTSD and DSM,Clinician diagnosed using DSM-IV criteria and SI-PTSD,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, rape/sexual assault, other (abduction)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,PSS-I and PCL,PCL-M ≥50 and PSS-I ≥20,0,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",Low
Other study class,PTSD,Other (home),Parallel,Cluster-level,0,0,0,1,Structured Clinical Interview,CAPS and DSM,CAPS and Clinician diagnosed using DSM-IV criteria criteria,1,1,0,0,0,0,1,0,1,High,1,"Excluded: ""imminent suicide risk as assessed by item 9 on the Beck Depression Inventory… followed by a telephone interview regarding suicidal ideation""",Excluded: psychosis,Mixed,"intimate partner violence, accidents, illness/medical procedure, combat-related, natural or manmade disasters, community/school violence, other (torture, multiple stressors)",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,0,Structured Clinical Interview,CAPS,CAPS-1 according to DSM-III-R and CAPS-2 (at end of run-in period) ≥50 (at end of run-in period),1,1,1,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,"Excluded: current or past history of bipolar, schizophrenic, or other psychotic disorder",Mixed,"accidents, rape/sexual assault, combat-related, natural or manmade disasters, community/school violence, other (""seeing someone hurt or die"", ""other event"")",High
Pharmacotherapy,PTSD+SUD,Outpatient clinic,Parallel,Cluster-level,0,0,1,0,Clinical diagnosis,DSM,Clinician diagnosed using DSM-IV criteria,1,0,0,0,0,1,0,0,1,High,1,Excluded: suicidal ideation,Excluded: unstable psychotic symptoms,Mixed,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,0,1,0,0,0,1,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""unmanaged psychosis or manic episodes in the past year""",Combat-related,"combat-related, other (not specified)",High
Other study class,PTSD,Other (mobile application),Parallel,N,0,0,1,1,Self report,PCL,PCL-C ≥25,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",Low
CIH,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Structured Clinical Interview,CAPS,CAPS-5 for DSM-5,1,1,1,1,0,0,1,0,1,Low,1,Excluded: suicidal ideation,"Excluded: ""current acute symptoms of psychosis""",Mixed,Combat-related; Rape/sexual assault; Illness/medical procedure; Natural or manmade disasters; Other (other traumatic event),High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS and PCL,"exposure to a traumatic event, 1 or more intrusion symptoms and 1 or more avoidance symptoms based on CAPS for DSM-5, plus PCL-5 score ≥25",1,1,1,0,0,0,0,0,1,High,0,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,PSS-I,"PSS-I used to assess PTSD, with diagnosis based on DSM-5 criteria",0,0,0,0,1,0,0,0,1,High,1,"Excluded: ""acute suicidality""","Excluded: ""serious psychotic symptoms""",Mixed,Child physical abuse; Child sexual abuse; Child other abuse,Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-III-R,0,0,1,0,1,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded patients with acute psychosis,Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, accidents, community/school violence, natural or manmade disasters",High
Other mixed,PTSD,Outpatient clinic,Parallel,Cluster-level,0,1,1,1,Structured Clinical Interview,CAPS,CAPS-5,0,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,"Excluded: ""psychosis, schizophrenia""",Child sexual abuse,"combat-related, other (not specified)",High
Nonpharmacologic biological,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,SCID,SCID,1,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychotic disorder,Combat-related,"combat-related, other (not specified)",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Clinical diagnosis,DSM,Clinician diagnosed using DSM-IV criteria,1,1,0,0,0,0,0,0,1,High,1,Excluded: suicidal or homicidal ideation or other clinically significant dangerousness,"Excluded: primary major psychotic disorder (i.e., schizophrenia, schizoaffective disorder, or bipolar disorder)",Mixed,"rape/sexual assault, community/school violence, other (not specified)",Low
Other study class,PTSD,Other (stayed in hotel and travelled to recreation sites),Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5 for DSM-5,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Terrorism/political violence/forced displacement,"combat-related, other (not specified)",High
CIH,PTSD,Outpatient clinic,Parallel,N,0,0,0,1,Structured Clinical Interview,CAPS and PCL,"CAPS ≥45 and PCL-M  ≥50, DSM-IV-TR criteria",1,0,1,1,1,0,1,0,1,Low,1,"Excluded: ""severe suicidal ideation"" identified using MINI","Excluded: ""schizophrenia spectrum disorders"" identified using MINI",Other,"""related to military service""",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,0,Structured Clinical Interview,CAPS and MINI,CAPS for DSM-IV ≥45 and MINI,1,0,1,0,0,0,0,0,1,Low,1,"Excluded: ""active suicidal ideation"" or ""score of ≥6 on queston 10 (suicidal thoughts) on the MADRS""",Excluded: lifetime history of psychotic disorder or active psychotic ideation,Mixed,"Combat-related, Other (not specified)",Low
CIH,PTSD,Outpatient clinic,Crossover 1st period,N,0,1,1,1,Self report,PCL,PCL-5 ≥33,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",Low
Collaborative care,PTSD,Mixed,Parallel,N,0,1,1,1,Structured Clinical Interview,CAPS,CAPS-SX calibrated,1,0,0,0,0,0,1,0,1,High,0,Allowed: patients who are at high risk for suicide,"Excluded: current diagnosis of schizophrenia



Allowed: diagnosis of schizophrenia after enrollment",Combat-related,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,SCID and PDS,SCID for DSM-IV and PDS ≥20,1,1,0,0,1,0,0,0,1,Some Concerns,1,"Excluded: ""severe depression needing immediate treatment in its own right (suicide risk)""","Excluded: ""history of psychosis""",Accidents,"combat-related, other (not specified)",Medium
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Item-level,0,0,1,1,Structured Clinical Interview,CAPS and DSM,Clinician diagnosed using DSM-IV criteria and CAPS ≥50,1,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"rape/sexual assault, intimate partner violence, accidents, community/school violence, other (stalking, break-in, witnessed killing or suicide attempt)",Low
Pharmacotherapy,PTSD+SUD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5 for DSM-5,0,0,0,0,0,1,0,0,1,Some Concerns,1,"Excluded: ""significant medical/psychiatric conditions that may adversely affect safety or study participation (e.g. suicidal intent)""",Excluded: psychosis,Mixed,"combat-related, other (not specified)",High
Nonpharmacologic biological,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Clinical diagnosis,DSM,DSM-5,1,1,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",Low
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,1,0,Self report,HTQ and ICD codes,HTQ for DSM-IV >2.5 and ICD-10,1,1,0,0,1,0,1,0,1,High,1,Excluded: suicidal ideation,Excluded: psychotic disorder according to SCAN version 2.1,Terrorism/political violence/forced displacement,"combat-related, other (not specified)",Low
Nonpharmacologic cognitive,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Structured Clinical Interview,MINI,MINI for DSM-IV criteria and PSS-SR score ≥20,1,0,0,0,0,0,0,0,1,Low,1,"Excluded: ""acute suicidal tendency""","Excluded:  ""(current or past) psychosis or delusional disorders""",Mixed,Child physical abuse; Child sexual abuse; Child other abuse; Rape/sexual assault; Intimate partner violence; Community/school violence,Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV-TR >45,0,0,0,0,0,0,0,0,1,High,1,"Excluded: ""suicidal""","Excluded: ""psychotic""",Mixed,"rape/sexual assault, intimate partner violence, accidents, community/school violence",High
Psychotherapy & CIH,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Self report,PCL and DSM,PCL-5 ≥31 plus qualifying criterion A traumatic event,1,0,0,0,0,0,0,0,1,High,1,"Excluded: ""past-month suicide attempt or intent""",Excluded: psychosis,Mixed,"combat-related, other (not specified)",High
CIH,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,0,1,Clinical diagnosis,DSM,Clinician diagnosed using DSM-IV criteria,1,1,0,0,0,0,0,0,1,Some Concerns,1,"Excluded: ""presence of suicidal ideation or intent as assessed at a clinical interview""","Excluded: ""history of psychotic illness""",Mixed,"accidents, community/school violence, other (not specified)",Medium
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV >40,1,1,0,0,0,0,1,0,1,High,1,"Excluded: ""active suicidality""","Excluded: ""psychosis""",Mixed,"combat-related, child physical abuse, child other abuse, rape/sexual assault, accidents, community/school violence",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,0,Structured Clinical Interview,CAPS and SCID,CAPS for DSM-IV ≥50 and SCID for DSM-IV,1,0,1,0,1,0,1,0,1,High,1,Excluded: signiﬁcant suicidal ideation,Excluded: lifetime psychotic disorder,Mixed,"rape/sexual assault, community/school violence",Low
Other mixed,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5,1,1,1,0,0,0,1,0,1,Some Concerns,0,"Excluded: ""suicide attempt less than three months prior to treatment""",Excluded: psychosis,Mixed,"Natural or manmade disasters; Other (sexual abuse, not further specified; physical abuse, not further specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Self report,HTQ,"No formal diagnostic instruments used; HTQ mean item score ≥2.5 indicated probable PTSD. To be included, participants reported that they had been ""exposed to a violent or traumatic event related to being a refugee, to the war, or to sectarian strife""; that they currently ""were bothered by the event, thought about it repeatedly, or felt like they had not overcome it.""",1,0,0,0,1,0,1,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"terrorism/political violence/forced displacement, rape/sexual assault, combat-related",Low
Other mixed,PTSD,Outpatient clinic,Parallel,Cluster-level,1,0,1,1,Clinical Diagnosis,DSM,PTSD diagnosis in the patient's medical record,1,0,0,0,0,0,1,0,1,High,1,Excluded: current suicidal ideation,Excluded: psychosis,Combat-related,"combat-related, other (not specified)",Low
Other study class,PTSD,Other (home),Parallel,N,1,0,0,1,Structured Clinical Interview,CAPS,CAPS-5,0,0,0,0,0,0,0,0,1,High,1,"Excluded: ""VA high-risk list for imminent danger to self or others"" or ""currently at imminent danger of harm to self"" according to the MINI","Excluded: ""psychotic episode or psychotic disorder diagnosed within the past year""",Mixed,"MST, Combat-related, Child physical abuse, Child sexual abuse, Rape/sexual assault, Community/school violence, Other (""other military"", ""other"" not specified)",High
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,0,1,Structured Clinical Interview,CAPS and MINI,MINI diagnosis and CAPS-5 >26,1,1,0,0,0,0,0,0,1,Some Concerns,1,"Excluded: ""severe suicidal risk, evaluated in a clinical interview by a trained researcher""","Excluded: ""schizophrenia""",Rape/sexual assault,"combat-related, other (not specified)",Medium
Nonpharmacologic biological,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS and SCID,"CAPS IV or 5, and SCID-IV",0,0,0,0,0,0,0,0,1,Low,1,"Excluded: ""prominent current suicidal ideation within the past 3 months"" or ""exhibited self-injurious behaviours in the last 3 months requiring medical attention""",Excluded: lifetime diagnosis of psychotic disorders,Mixed,"Rape/sexual assault; Community/school violence; Other (first responder occupational trauma, military occupational trauma)",Low
CIH,PTSD,Residential inpatient,Parallel,N,0,0,1,1,Self report,DAPS,Detailed Assessment of Posttraumatic States - Posttraumatic Stress-Total scale ≥60,1,0,1,0,0,1,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV-TR,1,1,0,0,0,0,0,0,1,Some Concerns,1,"Excluded: severe suicidal ideation with plan and intent, assessed with question 9 on BDI-II and by directly asking the veteran about intent to harm him/herself","Excluded: active psychotic disorder (e.g., schizophrenia) in VA medical records 



Allowed: psychotic symptoms related to PTSD (e.g. hallucinations during ﬂashbacks)",Combat-related,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Clinical diagnosis,ICD Codes,Clinical interview for ICD-10,1,1,0,0,1,0,1,0,1,Some Concerns,1,Excluded: suicidal ideation,"Excluded: ""having a psychotic disorder (ICD- 10 F2x and F30.1-30.9)""",Terrorism/political violence/forced displacement,"combat-related, other (not specified)",Medium
CIH,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS and DSM,DSM-5 PTSD criteria and CAPS-5 score ≥26,0,0,0,0,0,0,0,0,1,Low,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"Combat-related; MST; Accidents; Other (""another violence or loss event"")",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Self report,PC-PTSD,PC-PTSD,1,1,0,1,0,0,0,0,1,High,1,"Excluded: ""recent suicidal and/or homicidal behaviors""","Excluded: ""current or lifetime diagnosis of a psychotic disorder"" using SCID for DSM-IV ""screening questions for psychosis"" on phone screen",Combat-related,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,0,0,Structured Clinical Interview,SCID,SCID for DSM-V,1,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: suicide attempt within past 6 months,Excluded: current psychotic disorder,Mixed,"combat-related, other (not specified)",Medium
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-5,1,0,0,0,1,0,0,0,1,Some Concerns,1,"Excluded: ""currently experiencing suicidal ideation and/or homicidal ideation""","Excluded: ""currently experiencing two or more symptoms related to psychosis""",Mixed,"rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence, other (military-related, not specified)",High
Pharmacotherapy,PTSD,Outpatient clinic,Crossover all periods,Cluster-level,0,1,"1 (""supportive"" o0l1)",0,Clinical diagnosis,DSM,Clinician diagnosed using DSM-III criteria,1,1,0,0,1,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, accidents, terrorism/political violence/forced displacement, other (accident with death of son)",Low
Collaborative care,PTSD,Primary care clinic,Parallel,Cluster-level,0,1,1,1,Structured Clinical Interview,CAPS,CAPS,0,0,0,0,0,0,1,0,1,Some Concerns,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",High
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV ≥45,1,0,0,0,0,0,1,0,1,Low,1,Excluded: prominent suicidal ideation,Excluded: current psychotic disorder,Terrorism/political violence/forced displacement,"combat-related, other (not specified)",High
Other study class,PTSD,Other (dogs placed with veterans in home environment),Parallel,N,0,0,1,1,Clinical diagnosis,DSM,documented PTSD diagnosis from mental health provider,1,0,1,1,1,0,1,1,1,High,1,"Excluded: ""Active suicidal intent as determined by a CPRS flag for suicidal intent or an endorsement of yes to question 5 (active suicidal ideation with specific plan and intent) on the C‐SSRS""","Excluded: ""diagnosis of psychosis or delusions from MINI or chart notes""",Mixed,"combat-related, other (not specified)",Low
Psychotherapy & CIH,PTSD,Outpatient clinic,Parallel,Cluster-level,0,1,1,1,Clinical Diagnosis,DSM,DSM-IV criteria,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal risk,Excluded: severe dissociative or psychotic symptoms,Mixed,"Terrorism/political violence/forced displacement; Other (child abuse, unspecified); Other (adult abuse, unspecified)",Low
Other study class,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,0,1,Structured Clinical Interview,CAPS,DSM-IV criteria on CAPS,0,0,0,0,0,0,0,0,1,High,1,"Excluded: ""prominent suicidal or homicidal ideation or active suicide attempt in the past 3 months""","Excluded: ""lifetime history of any psychiatric disorder with psychotic features""",Mixed,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,0,0,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""schizophrenia""",Intimate partner violence,"combat-related, other (not specified)",High
Other study class,PTSD,Mixed,Parallel,N,0,0,0,0,Structured Clinical Interview,CAPS,CAPS,1,0,0,0,0,0,0,0,1,Some Concerns,1,"Excluded: ""active suicidal or homicidal ideation within the past 2 months""","Excluded: ""acute psychosis, psychotic episode, or psychotic disorder diagnosed within the past 2 years""",Mixed,"combat-related, MST",High
Psychotherapy,PTSD,Other,Parallel,N,0,0,1,1,Structured Clinical Interview,SCID,SCID for DSM-IV,1,0,0,0,1,0,0,0,1,Low,1,"Excluded: ""severe depression with suicidal intent""","Excluded: ""psychotic illness""",Natural or manmade disasters,"combat-related, other (not specified)",Low
Nonpharmacologic cognitive,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS,CAPS,1,1,0,0,1,0,0,0,1,High,1,"Excluded: ""active suicidality (i.e., expression of intent or plan to commit suicidal gestures, or suicide attempt within the past 6 months)""","Excluded: ""evidence of current or past schizophrenia""",Rape/sexual assault,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,0,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,0,0,0,0,0,0,0,1,High,1,"Excluded: suicidal intent, current parasuicidal behavior",Excluded: current psychosis,Mixed,"child sexual abuse, rape/sexual assault",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5,1,0,0,0,0,0,0,0,1,Some Concerns,1,"Excluded: ""current suicidal ideation with clear intent""","Excluded: ""active psychosis or dementia""",MST,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Structured Clinical Interview,PSS-I and PCL,PSS-I for DSM-IV ≥21 and PCL-M ≥45,0,0,0,0,0,0,0,0,1,Low,1,Excluded: suicidal ideation,Excluded: patients with schizophrenia or florid psychosis,Mixed,"MST, combat-related, rape/sexual assault, accidents, community/school violence, terrorism/political violence/forced displacement, other (not specified)",Low
CIH,PTSD,Mixed,Parallel,N,0,0,1,1,Self report,PCL,PCL-M for DSM-IV ≥50,1,1,1,1,0,0,0,0,1,High,0,Allowed: those at risk of harm [to self or others; all received EFT coaching by televideo],Excluded: psychosis,Mixed,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,SCID or DSM,SCID for DSM-III-R or DSM-IV (Dutch versions),0,1,0,1,0,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""psychotic disorder in present or past""",Mixed,"rape/sexual assault, accidents, community/school violence, other (witnessing trauma of others, unspecified childhood trauma)",Low
CIH,PTSD,Outpatient clinic,Parallel,N,0,0,0,1,Self report,PCL,PCL-5 ≥33,1,1,0,0,0,0,0,0,1,High,1,"Excluded: ""suicidality""","Excluded: ""severe personality disorder, psychotic disorder, or neuropsychiatric disorder'",Mixed,Child physical abuse; Child sexual abuse; Child other abuse; Rape/sexual assault; Community/school violence; Other (adult psychological abuse),Low
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,1,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV ≥60,1,0,0,0,0,0,0,0,1,Low,1,"Excluded: ""acute suicide risk""","Excluded: ""lifetime history of primary psychotic disorder""",Other,"""deployment-related""",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS and PCL,CAPS-IV for DSM-IV criteria for full or subthreshold PTSD and symptoms endorsed at a level of moderate or higher on the PCL-S (≥3 on the response range of 1-5 items),1,0,1,0,0,0,0,0,1,High,1,"Excluded: ""current suicidality with either a plan, intent, or a suicide attempt in the past 6 months""","Excluded: ""history of schizophrenia""",Mixed,"combat-related, other (not specified)",High
Psychotherapy & CIH,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5,1,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: high risk of suicide,Excluded: psychosis,Mixed,"Combat-related, Rape/sexual assault, Community/school violence, Accidents, Other (sudden death; other unspecified)",High
Psychotherapy,PTSD+SUD,"Mixed: intensive outpatient, other (outpatient methadone maintenance clinic)",Parallel,Cluster-level,1,0,1,1,Structured Clinical Interview,CAPS,CAPS-IV ≥44,1,0,0,0,0,1,0,0,1,Some Concerns,1,"Excluded: ""no psychiatric hospitalization or suicide attempt in the past month, unless the hospitalization or attempt was directly related to substance intoxication or detoxification and the person was currently stable""","Excluded: ""acute psychotic symptoms""







Allowed: ""persons with a psychotic disorder were eligible if their symptoms were stable and they were receiving appropriate mental health services""",Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, community/school violence, accidents",High
Psychotherapy & CIH,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Structured Clinical Interview,SCID,SCID for DSM-IV (Spanish version),0,1,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""psychosis in the last year""",Mixed,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,1,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV-TR >45,1,1,0,0,1,0,0,0,1,Low,1,"Excluded: ""prominent current suicidal or homicidal ideation""","Excluded: ""current uncontrolled psychotic or bipolar disorder""",Other,"""military-related""",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,1,0,1,0,Structured Clinical Interview,SCID and CAPS and DTS,SCID for DSM-IV and CAPS-SX17 ≥60 and DTS ≥40,1,0,0,0,1,0,1,0,1,High,1,Excluded: high risk of suicide,Excluded: schizophrenia or other psychotic disorder,Mixed,"combat-related, child sexual abuse, rape/sexual assault, accidents, community/school violence, other (""unexpected death"")",Low
Psychotherapy,PTSD,Mixed,Parallel,Item-level,1,0,1,1,Clinical diagnosis,DSM,Clinician diagnosed using DSM-III criteria,1,1,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Combat-related,"combat-related, other (not specified)",Low
Psychotherapy & CIH,PTSD,Outpatient clinic,Parallel,Cluster-level,1,0,1,1,Structured Clinical Interview,SCID,SCID for DSM-III-R,1,0,0,0,1,0,0,0,1,Some Concerns,1,"Excluded: ""melancholia or suicidal intent""","Excluded: ""past or present psychosis""",Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, terrorism/political violence/forced displacement",Medium
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,0,1,Structured Clinical Interview,SCID,SCID for DSM-IV,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""current psychotic episode""",Mixed,"child sexual abuse, child physical abuse",Low
