Study Class,Treatment Focus (Study level),Clinical Setting,Study Design,Subscale/Symptom Cluster Data,Subgroup Analysis,Allowed PTSD Psychotherapy Co-Intervention,Allowed Other Psychotherapy Co-Intervention,Allowed Psychotropic Med Co-Intervention,Diagnosis Assessment Type,Diagnostic Measure,Diagnostic Measure Detail,Depression Outcome Assessed,Anxiety Outcome Assessed,Sleep Outcome Assessed,Anger Outcome Assessed,Functioning Outcome Assessed,Substance Use Outcome Assessed,Quality of Life Outcome Assessed,Suicide or Self-Harm Related Outcomes,Serious Harms Assessed,Risk of Bias Rating,Patients with Suicidality Excluded,Suicide and Self-Directed Violence Related Inclusion and Exclusion Criteria,Psychotic Disorder and Symptom Related Inclusion and Exclusion Criteria,Trauma Type,Trauma Detail,PTSD Severity
Psychotherapy & CIH,PTSD,Mixed: psychiatric unit and outpatient department,Parallel,N,0,0,1,1,Structured Clinical Interview,SCID,SCID for DSM-IV,1,1,0,0,0,0,0,0,1,High,0,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Structured Clinical Interview,CAPS and MINI,MINI (last month) and CAPS-SX for DSM-IV ≥40,0,0,0,0,0,0,0,0,1,High,1,"Excluded: ""actively suicidal, homicidal""","Excluded: ""actively… psychotic""",Combat-related,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""current psychosis""",Terrorism/political violence/forced displacement,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5,0,0,0,0,0,1,0,0,1,Low,1,"Excluded: ""suicide attempt or serious self-harm in the past 3 months or suicidal ideation with intent or plan in the past 2 months""","Excluded: ""presence of a psychotic...disorder""",Mixed,"Combat-related; Rape/sexual assault; Community/school violence; Other (""traumatic loss"", ""another trauma type"")",High
Psychotherapy,PTSD,Mixed,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5 for DSM-5,0,0,0,0,0,0,0,0,1,High,1,"Excluded: ""high risk of harm to self,"" defined as ""active current plans and intent to harm or suicide""","Excluded: ""current psychosis""",Mixed,Combat-related; Other (trauma occurring during military service but not required to be specific to deployment),High
Psychotherapy,PTSD,Other (rehabilitation facility for spinal cord injury),Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,"CAPS-5 ""basic screening criteria of PTSD""",0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",High
Psychotherapy,PTSD+SUD,Primary care clinic,Parallel,N,0,0,0,1,Self report,PCL,PCL-5 ≥33 with endorsement of a traumatic event on the Criterion A screener,0,0,0,0,0,1,0,0,1,High,1,"Excluded: ""imminent risk of suicide""","Excluded: ""psychosis""",Mixed,"combat-related, other (not specified)",Low
CIH,PTSD,Mixed,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS,"CAPS-5 diagnosis or prior PTSD diagnosis by a VA provider, plus PCL-5 score ≥33",1,0,0,0,0,0,0,0,1,High,1,"Excluded: ""plan/intent to harm self""","Excluded: ""active psychosis""",Mixed,MST; Combat-related; Natural or manmade disasters,High
Nonpharmacologic cognitive,PTSD,Outpatient clinic,Parallel,N,1,0,0,0,Structured Clinical Interview,CAPS and PCL,CAPS ≥50 and PCL-C ≥30,1,0,0,0,0,0,0,0,1,Low,1,"Excluded: ""risk for violence to self or others""",Excluded: history of psychosis,Mixed,"combat-related, other (not specified)",High
Pharmacotherapy,PTSD,Outpatient clinic,Crossover all periods,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS and DSM,Clinician diagnosed using DSM-IV criteria and CAPS ≥60,1,1,0,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,Excluded: history of schizophrenia or other psychotic disorder,Mixed,"combat-related, accidents, terrorism/political violence/forced displacement, other (not specified)",Medium
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,0,1,Clinical diagnosis,DSM,Clinician diagnosed using DSM-5 criteria,1,1,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""psychosis""",Mixed,"intimate partner violence, accidents, illness/medical procedure",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-IV for DSM-IV,1,0,0,0,0,0,0,0,1,Low,1,"Excluded: ""life-threatening self-harm or suicide attempts during the previous 12 weeks""","Excluded: ""psychotic disorder""",Mixed,Child physical abuse; Child sexual abuse,High
CIH,PTSD,Other (home),Parallel,N,1,1,1,1,Structured Clinical Interview,CAPS,"DSM-IV criteria on CAPS or MINI, and CAPS score ≥30",1,1,1,0,0,0,0,0,1,Some Concerns,1,"Excluded: ""high suicidality""",Excluded: schizophrenia or psychosis,Combat-related,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Other (internet),Parallel,N,1,0,1,1,Structured Clinical Interview,SCID,SCID for DSM-5,1,1,1,0,1,0,1,0,1,Low,1,"Excluded: ""acute serious suicide risk""",Excluded: history of psychosis,Mixed,"Combat-related; Child physical abuse; Child sexual abuse; Child other abuse; Rape/sexual assault; Accidents; Illness/medical procedure; Community/school violence; Natural or manmade disasters; Other (death, severe illness, or harm of significant other; professionals witnessing harm to others)",Low
